,id,country,urb/rur,age,sex,education,years_edu,work?,occupation,mar_status,spouse_job,housing,car,computer,income,household_income,participate,why_par,why_not_par
3169,3169,Iraq,Urban,35.0,Female,BA,16.0,No,A housewife,Married,Owner of a shop/grocery store,Owned,No,Yes,600000.0,600000.0,"No, I did not",,I did not care to participate / It was not important
3170,3170,Iraq,Urban,33.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Manual laborer,Owned,No,No,450000.0,450000.0,"No, I did not",,I did not care to participate / It was not important
3171,3171,Iraq,Urban,21.0,Female,Illiterate/No formal education,0.0,No,A housewife,Married,Manual laborer,Rented,No,No,350000.0,350000.0,"No, I did not",,I did not care to participate / It was not important
3172,3172,Iraq,Urban,32.0,Male,Illiterate/No formal education,0.0,No,Unemployed,Married,Housewife,Owned,No,No,400000.0,400000.0,"No, I did not",,I did not care to participate / It was not important
3173,3173,Iraq,Urban,68.0,Male,Illiterate/No formal education,0.0,No,Unemployed,Bachelor,,Rented,No,No,100000.0,400000.0,"No, I did not",,I did not care to participate / It was not important
3174,3174,Iraq,Urban,40.0,Female,Secondary,12.0,No,A housewife,Married,Employer/director of an institution with 10 employees or more,Owned,No,No,300000.0,350000.0,"No, I did not",,I did not care to participate / It was not important
3175,3175,Iraq,Urban,52.0,Male,Secondary,12.0,Yes,A governmental employee,Married,Housewife,Owned,Yes,No,700000.0,700000.0,"No, I did not",,I did not agree on the political changes
3176,3176,Iraq,Urban,65.0,Male,Prepartory/Basic,8.0,No,Retired,Married,Housewife,Owned,No,No,250000.0,350000.0,"No, I did not",,I was afraid to participate in these demonstrations
3177,3177,Iraq,Urban,19.0,Female,Secondary,12.0,No,A student,Bachelor,,Rented,No,No,200000.0,500000.0,"No, I did not",,I did not agree on the political changes
3178,3178,Iraq,Urban,20.0,Female,Mid-level diploma (professional or technical,14.0,No,A student,Bachelor,,Owned,No,No,650000.0,650000.0,"No, I did not",,I did not care to participate / It was not important
3179,3179,Iraq,Urban,40.0,Male,Secondary,12.0,Yes,Working at the armed forces or the police,Married,Housewife,Owned,Yes,No,1000000.0,1000000.0,"No, I did not",,I did not care to participate / It was not important
3180,3180,Iraq,Urban,37.0,Male,Secondary,12.0,Yes,Working at the armed forces or the police,Married,Housewife,Owned,No,No,350000.0,1350000.0,"No, I did not",,I did not agree on the political changes
3181,3181,Iraq,Urban,52.0,Female,BA,16.0,Yes,A governmental employee,Married,Manual laborer,Owned,No,No,750000.0,1000000.0,"No, I did not",,I did not care to participate / It was not important
3182,3182,Iraq,Urban,42.0,Male,Prepartory/Basic,8.0,Yes,A governmental employee,Married,Housewife,Owned,No,No,850000.0,1000000.0,"No, I did not",,I did not agree on the political changes
3183,3183,Iraq,Urban,57.0,Male,Mid-level diploma (professional or technical,14.0,Yes,Working at the armed forces or the police,Married,Government employee,Owned,Yes,Yes,750000.0,1500000.0,"No, I did not",,I did not know who to support in these demonstrations
3184,3184,Iraq,Urban,42.0,Female,Elementary,5.0,No,A housewife,Bachelor,,Owned,No,No,300000.0,300000.0,"No, I did not",,I did not care to participate / It was not important
3185,3185,Iraq,Urban,55.0,Female,Mid-level diploma (professional or technical,14.0,Yes,A governmental employee,Married,"Professional such as lawyer, accountant, teacher, doctor, etc.",Owned,Yes,Yes,1200000.0,2500000.0,"No, I did not",,I did not care to participate / It was not important
3186,3186,Iraq,Urban,27.0,Male,Elementary,5.0,Yes,Manual laborer,Married,Housewife,Owned,No,No,800000.0,800000.0,"No, I did not",,I did not care to participate / It was not important
3187,3187,Iraq,Urban,34.0,Female,Mid-level diploma (professional or technical,14.0,No,A housewife,Married,Craftsperson,Rented,No,No,300000.0,500000.0,"No, I did not",,Don't know
3188,3188,Iraq,Urban,55.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Retired,Owned,No,No,300000.0,750000.0,"No, I did not",,I did not agree on the political changes
3189,3189,Iraq,Urban,43.0,Male,Secondary,12.0,Yes,A governmental employee,Married,Housewife,Owned,Yes,Yes,800000.0,800000.0,"No, I did not",,I did not care to participate / It was not important
3190,3190,Iraq,Urban,40.0,Female,BA,16.0,Yes,"Professional such as lawyer, accountant, teacher, doctor, etc.",Married,"Professional such as lawyer, accountant, teacher, doctor, etc.",Owned,Yes,Yes,250000.0,650000.0,"No, I did not",,I did not care to participate / It was not important
3191,3191,Iraq,Urban,49.0,Male,Mid-level diploma (professional or technical,14.0,Yes,A governmental employee,Married,Housewife,Owned,Yes,Yes,900000.0,900000.0,"No, I did not",,I did not agree on the political changes
3192,3192,Iraq,Urban,55.0,Male,Elementary,5.0,No,Retired,Married,Housewife,Owned,No,No,650000.0,650000.0,"No, I did not",,I did not care to participate / It was not important
3193,3193,Iraq,Urban,47.0,Female,Prepartory/Basic,8.0,Yes,A governmental employee,Married,Does not work,Rented,No,Yes,600000.0,750000.0,"No, I did not",,I did not care to participate / It was not important
3194,3194,Iraq,Urban,62.0,Male,Illiterate/No formal education,0.0,No,Retired,Married,Housewife,Rented,No,No,300000.0,300000.0,"No, I did not",,Don't know
3195,3195,Iraq,Urban,21.0,Female,Prepartory/Basic,8.0,No,A housewife,Bachelor,,Owned,No,No,150000.0,1500000.0,"No, I did not",,I did not agree on the political changes
3196,3196,Iraq,Urban,46.0,Male,Prepartory/Basic,8.0,Yes,Working at the armed forces or the police,Married,Housewife,Owned,No,No,1000000.0,1000000.0,"No, I did not",,I did not agree on the political changes
3197,3197,Iraq,Urban,50.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Owner of a shop/grocery store,Rented,No,No,200000.0,300000.0,"No, I did not",,I did not care to participate / It was not important
3198,3198,Iraq,Urban,32.0,Female,Elementary,5.0,No,A housewife,Married,Craftsperson,Owned,No,No,400000.0,400000.0,"No, I did not",,I did not care to participate / It was not important
3199,3199,Iraq,Urban,30.0,Male,BA,16.0,Yes,A governmental employee,Married,Government employee,Owned,No,Yes,500000.0,100000.0,"No, I did not",,Don't know
3200,3200,Iraq,Urban,32.0,Male,Secondary,12.0,No,A student,Married,Housewife,Owned,No,No,250000.0,1250000.0,"No, I did not",,I did not agree on the political changes
3201,3201,Iraq,Urban,48.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Craftsperson,Owned,Yes,No,500000.0,750000.0,"No, I did not",,I did not agree on the political changes
3202,3202,Iraq,Urban,25.0,Male,BA,16.0,No,Unemployed,Bachelor,,Owned,No,Yes,150000.0,750000.0,"Yes, I did",I am convinced in the objectives of these demonstrations,
3203,3203,Iraq,Urban,23.0,Male,Illiterate/No formal education,0.0,No,Unemployed,Married,Housewife,Owned,Yes,No,100000.0,700000.0,"No, I did not",,I did not care to participate / It was not important
3204,3204,Iraq,Urban,27.0,Female,Mid-level diploma (professional or technical,14.0,Yes,A governmental employee,Married,Private sector employee,Owned,No,Yes,650000.0,120000.0,"No, I did not",,I did not agree on the political changes
3205,3205,Iraq,Urban,45.0,Male,BA,16.0,Yes,A governmental employee,Married,Government employee,Owned,Yes,Yes,750000.0,1000000.0,"Yes, I did",I am convinced in the objectives of these demonstrations,
3206,3206,Iraq,Urban,33.0,Male,Mid-level diploma (professional or technical,14.0,Yes,Working at the armed forces or the police,Married,Housewife,Owned,Yes,Yes,1250000.0,1250000.0,"No, I did not",,I did not agree on the political changes
3207,3207,Iraq,Urban,53.0,Female,Elementary,5.0,No,A housewife,Married,Manual laborer,Rented,No,No,200000.0,300000.0,"No, I did not",,I did not care to participate / It was not important
3208,3208,Iraq,Urban,30.0,Female,Elementary,5.0,No,A housewife,Married,Owner of a shop/grocery store,Owned,No,No,500000.0,900000.0,"No, I did not",,I did not care to participate / It was not important
3209,3209,Iraq,Urban,20.0,Female,Mid-level diploma (professional or technical,14.0,Yes,A governmental employee,Married,Government employee,Owned,Yes,Yes,650000.0,750000.0,"Yes, I did",I am convinced in the objectives of these demonstrations,
3210,3210,Iraq,Urban,42.0,Female,Elementary,5.0,No,A housewife,Married,Government employee,Owned,Yes,No,500000.0,900000.0,"No, I did not",,I did not care to participate / It was not important
3211,3211,Iraq,Urban,49.0,Female,Elementary,5.0,No,A housewife,Married,"Professional such as lawyer, accountant, teacher, doctor, etc.",Owned,No,No,750000.0,1500000.0,"No, I did not",,I did not know how to participate in these demonstrations
3212,3212,Iraq,Urban,40.0,Male,Elementary,5.0,No,Unemployed,Married,Housewife,Rented,No,No,250000.0,250000.0,"No, I did not",,I did not care to participate / It was not important
3213,3213,Iraq,Urban,29.0,Male,Prepartory/Basic,8.0,Yes,Working at the armed forces or the police,Married,Housewife,Owned,Yes,No,1000000.0,1000000.0,"No, I did not",,I did not agree on the political changes
3214,3214,Iraq,Urban,73.0,Male,Illiterate/No formal education,0.0,No,Retired,Married,Housewife,Owned,No,No,500000.0,1750000.0,"No, I did not",,I did not agree on the political changes
3215,3215,Iraq,Urban,19.0,Male,Prepartory/Basic,8.0,No,Unemployed,Bachelor,,Owned,Yes,No,500000.0,500000.0,"No, I did not",,I did not care to participate / It was not important
3216,3216,Iraq,Urban,18.0,Male,Elementary,5.0,No,Unemployed,Bachelor,,Owned,No,No,350000.0,850000.0,"No, I did not",,I did not care to participate / It was not important
3217,3217,Iraq,Urban,52.0,Female,Mid-level diploma (professional or technical,14.0,Yes,Director of an institution or a high ranking governmental employee,Bachelor,,Owned,Yes,No,650000.0,1900000.0,"No, I did not",,I did not agree on the political changes
3218,3218,Iraq,Urban,50.0,Female,Illiterate/No formal education,0.0,No,A housewife,Married,Retired,Owned,No,No,250000.0,250000.0,"No, I did not",,I did not care to participate / It was not important
3219,3219,Iraq,Urban,51.0,Female,Elementary,5.0,No,A housewife,Married,Manual laborer,,No,No,900000.0,900000.0,"No, I did not",,I did not care to participate / It was not important
3220,3220,Iraq,Urban,22.0,Male,Secondary,12.0,No,A student,Bachelor,,Owned,No,No,500000.0,750000.0,"No, I did not",,I did not agree on the political changes
3221,3221,Iraq,Urban,29.0,Female,Mid-level diploma (professional or technical,14.0,No,A housewife,Bachelor,,Owned,No,No,500000.0,600000.0,"No, I did not",,I did not agree on the political changes
3222,3222,Iraq,Urban,36.0,Female,Elementary,5.0,No,A housewife,Married,Government employee,Rented,Yes,Yes,350000.0,550000.0,"No, I did not",,I did not care to participate / It was not important
3223,3223,Iraq,Urban,23.0,Male,Elementary,5.0,No,Unemployed,Bachelor,,Owned,Yes,No,250000.0,600000.0,"Yes, I did",Because everyone was participating in these demonstrations,
3224,3224,Iraq,Urban,24.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Member of the armed forces/public security,Rented,No,No,250000.0,900000.0,"No, I did not",,Don't know
3225,3225,Iraq,Urban,19.0,Female,Elementary,5.0,No,A housewife,Married,Owner of a shop/grocery store,Owned,No,No,450000.0,550000.0,"No, I did not",,I did not care to participate / It was not important
3226,3226,Iraq,Rural,41.0,Male,Prepartory/Basic,8.0,Yes,Private sector employee,Married,Housewife,Owned,No,No,200000.0,250000.0,"No, I did not",,I did not care to participate / It was not important
3227,3227,Iraq,Rural,23.0,Male,Prepartory/Basic,8.0,Yes,Working at the armed forces or the police,Bachelor,,Owned,No,No,700000.0,1500000.0,"No, I did not",,I did not care to participate / It was not important
3228,3228,Iraq,Rural,45.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Retired,Owned,Yes,Yes,600000.0,600000.0,"No, I did not",,I did not care to participate / It was not important
3229,3229,Iraq,Rural,51.0,Female,Illiterate/No formal education,0.0,No,A housewife,Married,Does not work,Owned,No,Yes,150000.0,150000.0,"No, I did not",,I did not agree on the political changes
3230,3230,Iraq,Rural,37.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Craftsperson,Owned,No,No,500000.0,500000.0,"No, I did not",,I did not care to participate / It was not important
3231,3231,Iraq,Rural,43.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Manual laborer,Owned,Yes,Yes,250000.0,250000.0,"No, I did not",,I did not care to participate / It was not important
3232,3232,Iraq,Rural,55.0,Male,Elementary,5.0,No,Retired,Married,Housewife,Owned,Yes,No,240000.0,240000.0,"No, I did not",,I did not care to participate / It was not important
3233,3233,Iraq,Rural,22.0,Male,Prepartory/Basic,8.0,Yes,Manual laborer,Married,Housewife,Owned,No,No,150000.0,1000000.0,"No, I did not",,I did not agree on the political changes
3234,3234,Iraq,Rural,47.0,Male,Secondary,12.0,Yes,A governmental employee,Bachelor,,Owned,Yes,Yes,900000.0,9500000.0,"No, I did not",,I was afraid to participate in these demonstrations
3235,3235,Iraq,Rural,43.0,Male,Elementary,5.0,No,Unemployed,Married,Housewife,Owned,No,No,300000.0,400000.0,"No, I did not",,I did not care to participate / It was not important
3236,3236,Iraq,Rural,37.0,Female,Elementary,5.0,No,A housewife,Married,Manual laborer,Owned,No,No,250000.0,250000.0,"No, I did not",,I did not care to participate / It was not important
3237,3237,Iraq,Rural,24.0,Female,Elementary,5.0,No,A housewife,Married,Member of the armed forces/public security,Owned,No,No,850000.0,850000.0,"No, I did not",,I did not know who to support in these demonstrations
3238,3238,Iraq,Rural,30.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Manual laborer,Owned,No,No,150000.0,150000.0,"No, I did not",,I did not know how to participate in these demonstrations
3239,3239,Iraq,Rural,33.0,Male,Secondary,12.0,Yes,Working at the armed forces or the police,Married,Housewife,Owned,Yes,No,1000000.0,1000000.0,"No, I did not",,I did not agree on the political changes
3240,3240,Iraq,Rural,32.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Government employee,Owned,No,Yes,600000.0,700000.0,"No, I did not",,I did not care to participate / It was not important
3241,3241,Iraq,Rural,18.0,Male,Prepartory/Basic,8.0,No,A student,Bachelor,,Owned,No,Yes,700000.0,1100000.0,"No, I did not",,I did not care to participate / It was not important
3242,3242,Iraq,Rural,40.0,Female,Elementary,5.0,No,A housewife,Married,Government employee,Owned,Yes,Yes,500000.0,1000000.0,"No, I did not",,I did not care to participate / It was not important
3243,3243,Iraq,Rural,50.0,Female,Secondary,12.0,No,A housewife,Married,Government employee,Owned,Yes,No,600000.0,1000000.0,"No, I did not",,I did not care to participate / It was not important
3244,3244,Iraq,Rural,56.0,Male,Prepartory/Basic,8.0,No,Unemployed,Married,Housewife,Owned,Yes,No,200000.0,600000.0,"No, I did not",,I did not care to participate / It was not important
3245,3245,Iraq,Rural,28.0,Male,Prepartory/Basic,8.0,No,Unemployed,Married,Housewife,Rented,Yes,No,600000.0,600000.0,"No, I did not",,I did not agree on the political changes
3246,3246,Iraq,Rural,22.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Manual laborer,Rented,No,No,750000.0,750000.0,"No, I did not",,I did not agree on the political changes
3247,3247,Iraq,Rural,19.0,Female,Mid-level diploma (professional or technical,14.0,No,A student,Bachelor,,Owned,No,Yes,100000.0,500000.0,"Yes, I did",I am convinced in the objectives of these demonstrations,
3248,3248,Iraq,Rural,53.0,Male,BA,16.0,No,Unemployed,Married,Housewife,Owned,Yes,No,350000.0,400000.0,"No, I did not",,I did not know how to participate in these demonstrations
3249,3249,Iraq,Rural,50.0,Male,Prepartory/Basic,8.0,No,Unemployed,Married,Government employee,Owned,No,Yes,650000.0,1000000.0,"No, I did not",,I did not care to participate / It was not important
3250,3250,Iraq,Rural,42.0,Female,Elementary,5.0,No,A housewife,Married,Manual laborer,Owned,No,No,1000000.0,1000000.0,"No, I did not",,I did not care to participate / It was not important
3251,3251,Iraq,Rural,53.0,Male,Mid-level diploma (professional or technical,14.0,Yes,Director of an institution or a high ranking governmental employee,Married,Housewife,Owned,No,No,1000000.0,1000000.0,"No, I did not",,I did not care to participate / It was not important
3252,3252,Iraq,Rural,29.0,Female,Elementary,5.0,No,A housewife,Married,Private sector employee,Owned,No,No,750000.0,1350000.0,"No, I did not",,I did not care to participate / It was not important
3253,3253,Iraq,Rural,51.0,Male,BA,16.0,Yes,A governmental employee,Married,Housewife,Owned,Yes,No,800000.0,800000.0,"No, I did not",,I did not agree on the political changes
3254,3254,Iraq,Rural,47.0,Male,Elementary,5.0,Yes,Working at the armed forces or the police,Married,Housewife,Owned,No,No,900000.0,900000.0,"No, I did not",,I did not care to participate / It was not important
3255,3255,Iraq,Rural,19.0,Female,Secondary,12.0,No,A student,Bachelor,,Owned,No,No,500000.0,750000.0,"No, I did not",,I did not care to participate / It was not important
3256,3256,Iraq,Rural,20.0,Male,Prepartory/Basic,8.0,No,A student,Bachelor,,Owned,Yes,Yes,120000.0,500000.0,"No, I did not",,Don't know
3257,3257,Iraq,Rural,35.0,Female,Mid-level diploma (professional or technical,14.0,Yes,A governmental employee,Married,Government employee,Owned,Yes,No,750000.0,1000000.0,"No, I did not",,Don't know
3258,3258,Iraq,Rural,45.0,Female,Mid-level diploma (professional or technical,14.0,Yes,A governmental employee,Married,Private sector employee,Owned,Yes,No,350000.0,750000.0,"No, I did not",,Don't know
3259,3259,Iraq,Rural,50.0,Male,Elementary,5.0,No,Retired,Married,Housewife,Owned,No,No,250000.0,300000.0,"No, I did not",,Don't know
3260,3260,Iraq,Rural,25.0,Female,Elementary,5.0,No,A housewife,Married,Government employee,Owned,No,No,200000.0,1000000.0,"No, I did not",,I did not care to participate / It was not important
3261,3261,Iraq,Rural,30.0,Male,Mid-level diploma (professional or technical,14.0,Yes,A governmental employee,Married,Housewife,Owned,No,No,500000.0,500000.0,"No, I did not",,I did not care to participate / It was not important
3262,3262,Iraq,Rural,27.0,Male,Elementary,5.0,Yes,Manual laborer,Married,Housewife,Owned,No,No,200000.0,350000.0,"No, I did not",,I did not care to participate / It was not important
3263,3263,Iraq,Rural,35.0,Female,Elementary,5.0,No,A housewife,Married,Manual laborer,Owned,No,No,150000.0,300000.0,"No, I did not",,I did not care to participate / It was not important
3264,3264,Iraq,Rural,27.0,Male,Elementary,5.0,Yes,,Married,Housewife,Owned,No,No,200000.0,1000000.0,"No, I did not",,I did not care to participate / It was not important
3265,3265,Iraq,Rural,27.0,Male,Illiterate/No formal education,0.0,Yes,Owner of a shop/grocery store,Married,Housewife,Owned,No,No,200000.0,600000.0,"No, I did not",,I did not agree on the political changes
3266,3266,Iraq,Rural,28.0,Female,Secondary,12.0,No,A housewife,Married,Member of the armed forces/public security,Owned,No,No,250000.0,1000000.0,"No, I did not",,I did not agree on the political changes
3267,3267,Iraq,Rural,47.0,Female,Secondary,12.0,No,A housewife,Married,Owner of a shop/grocery store,Owned,No,No,500000.0,800000.0,"No, I did not",,I did not agree on the political changes
3268,3268,Iraq,Rural,19.0,Male,Secondary,12.0,No,A student,Bachelor,,Owned,No,Yes,500000.0,500000.0,"No, I did not",,I did not agree on the political changes
3269,3269,Iraq,Rural,18.0,Female,Prepartory/Basic,8.0,No,A housewife,Bachelor,,Owned,No,No,500000.0,600000.0,"No, I did not",,I did not agree on the political changes
3270,3270,Iraq,Rural,49.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Owner of a shop/grocery store,Owned,No,No,500000.0,500000.0,"No, I did not",,I did not care to participate / It was not important
3271,3271,Iraq,Rural,22.0,Male,Secondary,12.0,No,Unemployed,Married,Housewife,Owned,No,No,100000.0,250000.0,"No, I did not",,I did not care to participate / It was not important
3272,3272,Iraq,Rural,38.0,Male,Illiterate/No formal education,0.0,No,Unemployed,Married,Housewife,Owned,No,No,150000.0,300000.0,"No, I did not",,I was afraid to participate in these demonstrations
3273,3273,Iraq,Rural,52.0,Male,Secondary,12.0,Yes,A governmental employee,Married,Housewife,Owned,Yes,Yes,300000.0,300000.0,"No, I did not",,I did not know who to support in these demonstrations
3274,3274,Iraq,Rural,41.0,Male,Secondary,12.0,Yes,Craftsperson,Married,Housewife,Owned,Yes,No,200000.0,200000.0,"No, I did not",,I did not care to participate / It was not important
3275,3275,Iraq,Rural,46.0,Female,Elementary,5.0,No,A housewife,Divorced,,Owned,No,No,200000.0,200000.0,"No, I did not",,I did not care to participate / It was not important
3276,3276,Iraq,Rural,21.0,Male,Elementary,5.0,Yes,Working at the armed forces or the police,Bachelor,,Owned,No,No,1000000.0,1000000.0,"No, I did not",,Don't know
3277,3277,Iraq,Rural,20.0,Female,Prepartory/Basic,8.0,No,A student,Bachelor,,Owned,No,No,150000.0,500000.0,"No, I did not",,I did not agree on the political changes
3278,3278,Iraq,Rural,45.0,Male,Elementary,5.0,No,Retired,Married,Housewife,Owned,No,No,250000.0,400000.0,"No, I did not",,I was afraid to participate in these demonstrations
3279,3279,Iraq,Rural,57.0,Male,Elementary,5.0,No,Retired,Married,Government employee,Owned,Yes,No,750000.0,1000000.0,"No, I did not",,I did not agree on the political changes
3280,3280,Iraq,Rural,29.0,Female,BA,16.0,Yes,A governmental employee,Bachelor,,Owned,No,No,600000.0,1500000.0,"No, I did not",,I did not care to participate / It was not important
3281,3281,Iraq,Rural,52.0,Female,Illiterate/No formal education,0.0,No,A housewife,Married,Retired,Owned,No,No,500000.0,1000000.0,"No, I did not",,I did not care to participate / It was not important
3282,3282,Iraq,Rural,21.0,Female,Prepartory/Basic,8.0,No,A student,Bachelor,,Owned,No,Yes,500000.0,1500000.0,"No, I did not",,I did not care to participate / It was not important
3283,3283,Iraq,Rural,43.0,Female,Mid-level diploma (professional or technical,14.0,No,A housewife,Married,Government employee,Owned,No,No,500000.0,500000.0,"No, I did not",,I did not care to participate / It was not important
3284,3284,Iraq,Rural,38.0,Female,Elementary,5.0,No,A housewife,Married,Craftsperson,Owned,No,No,500000.0,500000.0,"No, I did not",,I did not care to participate / It was not important
3285,3285,Iraq,Rural,43.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Agricultural worker/Owner of a farm,Owned,No,No,500000.0,500000.0,"No, I did not",,I did not care to participate / It was not important
3286,3286,Iraq,Rural,57.0,Female,Illiterate/No formal education,0.0,No,A housewife,Divorced,,Rented,No,No,100000.0,100000.0,"No, I did not",,I did not know how to participate in these demonstrations
3287,3287,Iraq,Rural,45.0,Male,Mid-level diploma (professional or technical,14.0,Yes,Working at the armed forces or the police,Married,Government employee,Owned,Yes,Yes,750000.0,950000.0,"Yes, I did",I am convinced in the objectives of these demonstrations,
3288,3288,Iraq,Rural,55.0,Male,Mid-level diploma (professional or technical,14.0,Yes,Director of an institution or a high ranking governmental employee,Married,Government employee,Owned,Yes,Yes,750000.0,1000000.0,"Yes, I did",I am convinced in the objectives of these demonstrations,
3289,3289,Iraq,Rural,60.0,Male,Elementary,5.0,No,Retired,Married,Housewife,Owned,No,No,250000.0,400000.0,"No, I did not",,I did not agree on the political changes
3290,3290,Iraq,Rural,19.0,Female,Elementary,5.0,No,A student,Bachelor,,Rented,No,No,500000.0,500000.0,"No, I did not",,I did not agree on the political changes
3291,3291,Iraq,Rural,47.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Craftsperson,Owned,No,No,700000.0,450000.0,"No, I did not",,I did not agree on the political changes
3292,3292,Iraq,Rural,35.0,Male,Prepartory/Basic,8.0,Yes,A governmental employee,Married,Housewife,Owned,No,No,700000.0,700000.0,"No, I did not",,I did not care to participate / It was not important
3293,3293,Iraq,Rural,19.0,Male,Elementary,5.0,No,Unemployed,Bachelor,,Owned,No,No,200000.0,200000.0,"No, I did not",,I did not care to participate / It was not important
3294,3294,Iraq,Rural,38.0,Male,Prepartory/Basic,8.0,Yes,A governmental employee,Married,Housewife,Owned,Yes,Yes,1000000.0,1000000.0,"No, I did not",,I did not care to participate / It was not important
3295,3295,Iraq,Rural,28.0,Female,Elementary,5.0,No,A housewife,Bachelor,,Owned,No,No,500000.0,1500000.0,"No, I did not",,Other
3296,3296,Iraq,Rural,27.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Member of the armed forces/public security,Owned,No,No,150000.0,175000.0,"No, I did not",,I did not care to participate / It was not important
3297,3297,Iraq,Rural,59.0,Male,Secondary,12.0,No,Retired,Married,Housewife,Owned,Yes,No,400000.0,1000000.0,"No, I did not",,I did not care to participate / It was not important
3298,3298,Iraq,Rural,37.0,Female,Elementary,5.0,No,A housewife,Married,Manual laborer,Owned,No,No,500000.0,500000.0,"No, I did not",,I did not care to participate / It was not important
3299,3299,Iraq,Rural,28.0,Male,Elementary,5.0,Yes,Manual laborer,Married,Housewife,Owned,No,No,300000.0,300000.0,"No, I did not",,I did not care to participate / It was not important
3300,3300,Iraq,Rural,32.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Agricultural worker/Owner of a farm,Owned,No,No,500000.0,500000.0,"No, I did not",,I did not care to participate / It was not important
3301,3301,Iraq,Rural,55.0,Female,Illiterate/No formal education,0.0,No,A housewife,Married,Retired,Owned,No,No,250000.0,350000.0,"No, I did not",,I did not care to participate / It was not important
3302,3302,Iraq,Rural,48.0,Female,Prepartory/Basic,8.0,No,A housewife,Divorced,,Owned,No,No,500000.0,800000.0,"No, I did not",,I did not agree on the political changes
3303,3303,Iraq,Rural,21.0,Female,Elementary,5.0,No,A housewife,Married,Government employee,Owned,No,No,150000.0,460000.0,"No, I did not",,I did not agree on the political changes
3304,3304,Iraq,Rural,25.0,Female,Elementary,5.0,No,A housewife,Married,Owner of a shop/grocery store,Owned,No,No,400000.0,1500000.0,"No, I did not",,I did not care to participate / It was not important
3305,3305,Iraq,Rural,52.0,Female,Elementary,5.0,No,A housewife,Married,Agricultural worker/Owner of a farm,Owned,No,No,500000.0,500000.0,"No, I did not",,I did not agree on the political changes
3306,3306,Iraq,Rural,45.0,Female,Secondary,12.0,No,A housewife,Married,Private sector employee,Owned,No,No,500000.0,500000.0,"No, I did not",,I did not care to participate / It was not important
3307,3307,Iraq,Rural,56.0,Female,Elementary,5.0,No,A housewife,Married,Owner of a shop/grocery store,Owned,No,No,400000.0,400000.0,"No, I did not",,I did not agree on the political changes
3308,3308,Iraq,Rural,33.0,Male,Elementary,5.0,Yes,Manual laborer,Married,Housewife,Owned,No,No,350000.0,1500000.0,"No, I did not",,I did not agree on the political changes
3309,3309,Iraq,Rural,52.0,Male,Elementary,5.0,No,Unemployed,Married,Housewife,Owned,No,No,750000.0,1000000.0,"No, I did not",,Don't know
3310,3310,Iraq,Rural,21.0,Male,Elementary,5.0,No,Unemployed,Bachelor,,Owned,No,No,300000.0,500000.0,"No, I did not",,Don't know
3311,3311,Iraq,Rural,38.0,Male,Secondary,12.0,Yes,Agricultural worker/Owner of a farm,Married,Housewife,Owned,Yes,No,700000.0,700000.0,"No, I did not",,I did not care to participate / It was not important
3312,3312,Iraq,Rural,57.0,Male,Prepartory/Basic,8.0,No,Retired,Married,Housewife,Owned,No,No,350000.0,500000.0,"No, I did not",,I did not agree on the political changes
3313,3313,Iraq,Rural,23.0,Male,Elementary,5.0,No,Unemployed,Bachelor,,Owned,No,No,200000.0,300000.0,"No, I did not",,I did not care to participate / It was not important
3314,3314,Iraq,Rural,32.0,Male,Illiterate/No formal education,0.0,Yes,Owner of a shop/grocery store,Married,Housewife,Owned,No,No,250000.0,350000.0,"No, I did not",,I did not care to participate / It was not important
3315,3315,Iraq,Rural,26.0,Female,Elementary,5.0,No,A housewife,Married,Manual laborer,Rented,No,No,300000.0,600000.0,"No, I did not",,I did not care to participate / It was not important
3316,3316,Iraq,Urban,25.0,Female,Elementary,5.0,No,A housewife,Bachelor,,Owned,No,No,500000.0,500000.0,"No, I did not",,I did not care to participate / It was not important
3317,3317,Iraq,Urban,20.0,Female,Secondary,12.0,No,A housewife,Bachelor,,Owned,No,No,400000.0,600000.0,"No, I did not",,I did not agree on the political changes
3318,3318,Iraq,Urban,35.0,Male,Mid-level diploma (professional or technical,14.0,Yes,A governmental employee,Married,Housewife,Owned,Yes,Yes,650000.0,700000.0,"Yes, I did",I am convinced in the objectives of these demonstrations,
3319,3319,Iraq,Urban,27.0,Female,Mid-level diploma (professional or technical,14.0,Yes,A governmental employee,Divorced,,Owned,No,Yes,600000.0,1500000.0,"No, I did not",,I did not care to participate / It was not important
